Entry	Entry Name	Gene Names	Protein names	Length
P53277	SYF2_YEAST	SYF2 NTC31 YGR129W	Pre-mRNA-splicing factor SYF2 (PRP19 complex protein 31) (Synthetic lethal with CDC40 protein 2)	215
P53281	LSB1_YEAST	LSB1 YGR136W	LAS seventeen-binding protein 1 (LAS17-binding protein 1)	241
P53286	BTN2_YEAST	BTN2 YGR142W	Protein BTN2 (Batten disease protein 2)	410
P53290	RAGCD_YEAST	GTR2 YGR163W	GTP-binding protein GTR2 (EC 3.6.5.-)	341
P53294	PUS6_YEAST	PUS6 YGR169C	tRNA pseudouridine(31) synthase (EC 5.4.99.42) (Pseudouridine synthase 6) (Pseudouridylate synthase 6) (Uracil hydrolyase) (tRNA pseudouridine 31 synthase) (PSI31 synthase)	404
P53296	ATF2_YEAST	ATF2 YGR177C G7135	Alcohol O-acetyltransferase 2 (AATase 2) (EC 2.3.1.84) (Acetyl-CoA:pregnenolone acetyltransferase) (APAT)	535
P53297	PBP1_YEAST	PBP1 MRS16 YGR178C	PAB1-binding protein 1 (Poly(A)-binding protein-binding protein)	722
P53298	CENPQ_YEAST	OKP1 YGR179C	Inner kinetochore subunit OKP1 (CENP-Q homolog) (Constitutive centromere-associated network protein OKP1) (Outer kinetochore protein 1)	406
P53299	TIM13_YEAST	TIM13 YGR181W G7157	Mitochondrial import inner membrane translocase subunit TIM13	105
P53301	CRH1_YEAST	CRH1 YGR189C G7553	Congo red hypersensitive protein 1 [Includes: Chitinase CRH1 (EC 3.2.1.14); Chitin transglycosylase CRH1 (EC 2.4.-.-)]	507
P53303	ZPR1_YEAST	ZPR1 YGR211W	Zinc finger chaperone ZPR1	486
P53309	AP18B_YEAST	YAP1802 YGR241C G8610	Clathrin coat assembly protein AP180B	568
P53311	MPC3_YEAST	MPC3 FMP43 YGR243W G8620	Mitochondrial pyruvate carrier 3 (MPC3) (Protein FMP43)	146
P53314	CPD1_YEAST	CPD1 YGR247W	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)	239
P53317	NOP19_YEAST	NOP19 YGR251W	Nucleolar protein 19	196
P53318	COQ6_YEAST	COQ6 YGR255C G9165	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.15.45) (2-methoxy-6-polyprenolphenol 4-hydroxylase) (EC 1.14.15.46) (Ubiquinone C4-deaminase) (EC 3.5.-.-)	479
P53322	TNA1_YEAST	TNA1 YGR260W	High-affinity nicotinic acid transporter (Nicotinic acid permease)	534
P53323	BUD32_YEAST	BUD32 LDB14 YGR262C	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1) (Bud site selection protein 32) (Low-dye-binding protein 14) (piD261)	261
P53324	SAY1_YEAST	SAY1 YGR263C	Steryl acetyl hydrolase 1 (EC 3.1.1.-)	424
P53327	ASCC3_YEAST	SLH1 RQT2 YGR271W G9365	RQC trigger complex helicase SLH1 (EC 3.6.4.13) (Antiviral helicase SLH1) (SKI2-like helicase 1)	1967
P53330	RT102_YEAST	RTT102 YGR275W G9378	Regulator of Ty1 transposition protein 102	157
P53331	REXO1_YEAST	RNH70 REX1 YGR276C G9381	RNA exonuclease 1 (EC 3.1.-.-) (RNase H(70))	553
P53334	SCW4_YEAST	SCW4 YGR279C	Probable family 17 glucosidase SCW4 (EC 3.2.1.-) (Soluble cell wall protein 4)	386
P53335	PXR1_YEAST	PXR1 GNO1 YGR280C	Protein PXR1 (G-patch nucleolar protein) (PinX1-related protein 1)	271
P53378	TBG_YEAST	TUB4 YLR212C L8167.21	Tubulin gamma chain (Gamma-tubulin)	473
P53379	MKC7_YEAST	MKC7 YPS2 YDR144C YD2943.03C YD8358.01C	Aspartic proteinase MKC7 (EC 3.4.23.41) (Yapsin-2)	596
P53397	OGG1_YEAST	OGG1 YML060W YM9958.02	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	376
P53507	TOM7_YEAST	TOM7 MOM7 YNL070W N2378	Mitochondrial import receptor subunit TOM7 (Translocase of outer membrane 7 kDa subunit)	60
P53538	SSU72_YEAST	SSU72 YNL222W N1279	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2)	206
P53540	SPC98_YEAST	SPC98 YNL126W N1222 N1879	Spindle pole body component SPC98	846
P53541	SPO1_YEAST	SPO1 YNL012W N2858	Putative meiotic phospholipase SPO1 (EC 3.1.1.-) (Sporulation-specific protein 1)	631
P53549	PRS10_YEAST	RPT4 CRL13 PCS1 SUG2 YOR259C	26S proteasome subunit RPT4 (26S protease subunit SUG2) (Proteasomal cap subunit)	437
P53550	DCP2_YEAST	DCP2 PSU1 YNL118C N1917	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Protein PSU1) (mRNA-decapping enzyme subunit 2)	970
P53551	H1_YEAST	HHO1 YPL127C LPI17C	Histone H1	258
P53552	THO2_YEAST	THO2 LDB5 RLR1 ZRG13 YNL139C N1209 N1835	THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein)	1597
P53598	SUCA_YEAST	LSC1 YOR142W YOR3352W	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	329
P53599	SSK2_YEAST	SSK2 YNR031C N3276	MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2)	1579
P53604	MSO1_YEAST	MSO1 YNR049C N3457	Protein MSO1	210
P53615	CAN_YEAST	NCE103 NCE3 YNL036W N2695	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	221
P53616	SUN4_YEAST	SUN4 SCW3 YNL066W N2411 YNL2411W	Probable secreted beta-glucosidase SUN4 (EC 3.2.1.-) (Septation protein SUN4) (Soluble cell wall protein 3)	420
P53617	NRD1_YEAST	NRD1 YNL251C N0868	Protein NRD1	575
P53622	COPA_YEAST	COP1 RET1 SEC33 SOO1 YDL145C D1578	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (Retrieval from endoplasmic reticulum protein 1) (Secretory protein 22) (Suppressor of osmo-sensitivity 1)	1201
P53628	SNF12_YEAST	SNF12 SWP73 YNR023W N3224	Transcription regulatory protein SNF12 (SWI/SNF complex component SWP73)	566
P53632	PAP2_YEAST	PAP2 TRF4 YOL115W HRC584 O0716	Poly(A) RNA polymerase protein 2 (EC 2.7.7.19) (DNA polymerase kappa) (DNA polymerase sigma) (Topoisomerase 1-related protein TRF4)	584
P53633	PRA1_YEAST	YIP3 PRA1 YNL044W N2650	Prenylated Rab acceptor 1	176
P53685	HST1_YEAST	HST1 YOL068C	NAD-dependent protein deacetylase HST1 (EC 2.3.1.286) (Homologous to SIR2 protein 1) (Regulatory protein SIR2 homolog 1)	503
P53686	HST2_YEAST	HST2 YPL015C LPA2C	NAD-dependent protein deacetylase HST2 (EC 2.3.1.286) (Homologous to SIR2 protein 2) (Regulatory protein SIR2 homolog 2)	357
P53687	HST3_YEAST	HST3 YOR025W OR26.15	NAD-dependent histone deacetylase HST3 (EC 2.3.1.286) (Homologous to SIR2 protein 3) (Regulatory protein SIR2 homolog 3)	447
P53688	HST4_YEAST	HST4 YDR191W YD9346.03	NAD-dependent histone deacetylase HST4 (EC 2.3.1.286) (Homologous to SIR2 protein 4) (Regulatory protein SIR2 homolog 4)	370
P53691	PPID_YEAST	CPR6 YLR216C L8167.24	Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)	371
P53720	DUS2_YEAST	SMM1 DUS2 YNR015W N2065	tRNA-dihydrouridine(20) synthase [NAD(P)+] (EC 1.3.1.91) (mRNA-dihydrouridine synthase DUS2) (EC 1.3.1.-) (tRNA-dihydrouridine synthase 2)	384
P53721	RCF2_YEAST	RCF2 AIM38 YNR018W N3185	Respiratory supercomplex factor 2, mitochondrial (Altered inheritance of mitochondria protein 38)	224
P53722	ATP23_YEAST	ATP23 YNR020C N3212	Mitochondrial inner membrane protease ATP23 (EC 3.4.24.-)	227
P53725	MPP6_YEAST	MPP6 YNR024W N3230	M-phase phosphoprotein 6 homolog (Exosome-associated RNA-binding protein MPP6)	186
P53729	ZNG1_YEAST	ZNG1 YNR029C N3260	Zinc-regulated GTPase metalloprotein activator 1 (EC 3.6.5.-)	429
P53730	ALG12_YEAST	ALG12 ECM39 YNR030W N3265	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	551
P53731	ARPC2_YEAST	ARC35 YNR035C N3296	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	342
P53734	DBP6_YEAST	DBP6 YNR038W N3302	ATP-dependent RNA helicase DBP6 (EC 3.6.4.13) (DEAD box protein 6)	629
P53738	TR112_YEAST	TRM112 YNR046W N3445	Multifunctional methyltransferase subunit TRM112 (eRF1 methyltransferase subunit TRM112) (eRF1 MTase subunit TRM112) (tRNA methyltransferase 112)	135
P53739	FPK1_YEAST	FPK1 YNR047W N3449	Flippase kinase 1 (EC 2.7.11.1)	893
P53740	YN8S_YEAST	YNR048W N3453	Phospholipid-transporting ATPase accessory subunit CRF1 (CDC50/ROS3 family protein 1) (CRF1)	393
P53741	BRE5_YEAST	BRE5 YNR051C N3465	UBP3-associated protein BRE5 (Brefeldin-A sensitivity protein 5)	515
P53742	NOG2_YEAST	NOG2 YNR053C N3484	Nucleolar GTP-binding protein 2	486
P53743	ESF2_YEAST	ESF2 ABT1 YNR054C N3491	Pre-rRNA-processing protein ESF2 (18S rRNA factor 2)	316
P53746	FRE4_YEAST	FRE4 YNR060W N3518	Ferric reductase transmembrane component 4 (EC 1.16.1.9) (Ferric-chelate reductase 4)	719
P53753	ENG1_YEAST	DSE4 ENG1 YNR067C N3547	Glucan endo-1,3-beta-D-glucosidase 1 (Endo-1,3-beta-glucanase 1) (EC 3.2.1.39) (Daughter specific expression protein 4) (Laminarinase-1)	1117
P53759	DUS1_YEAST	DUS1 YML080W	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] (EC 1.3.1.88) (mRNA-dihydrouridine synthase DUS1) (EC 1.3.1.-) (tRNA-dihydrouridine synthase 1)	423
P53769	CWC24_YEAST	CWC24 YLR323C L8543.3	Pre-mRNA-splicing factor CWC24 (Complexed with CEF1 protein 24)	259
P53829	CAF40_YEAST	CAF40 YNL288W N0540	Protein CAF40 (40 kDa CCR4-associated factor)	373
P53832	WSC2_YEAST	WSC2 YNL283C N0583	Cell wall integrity and stress response component 2	503
P53833	POP3_YEAST	POP3 YNL282W N0586	Ribonucleases P/MRP protein subunit POP3 (RNA-processing protein POP3) (RNases MRP/P 22.6 kDa subunit)	195
P53838	BOR1_YEAST	BOR1 YNL275W N0626	Boron transporter 1	576
P53839	GOR1_YEAST	GOR1 YNL274C N0631	Glyoxylate reductase 1 (EC 1.1.1.26) (EC 1.1.1.79) (EC 1.1.1.81)	350
P53840	TOF1_YEAST	TOF1 YNL273W N0636	Topoisomerase 1-associated factor 1	1238
P53843	IST1_YEAST	IST1 YNL265C N0809	Vacuolar protein sorting-associated protein IST1 (Increased sodium tolerance protein 1)	298
P53844	PDR17_YEAST	PDR17 ISS1 PSTB2 SFH4 YNL264C N0815	Phosphatidylinositol transfer protein PDR17 (PITP) (Phosphatidylserine transport B pathway protein 2) (Pleiotropic drug resistance protein 17) (SEC14 homolog 3)	350
P53845	YIF1_YEAST	YIF1 YNL263C N0820	Protein transport protein YIF1 (YIP1-interacting factor 1)	314
P53846	LTO1_YEAST	LTO1 YNL260C N0838	Protein LTO1 (LTO1 family protein YNL260C)	162
P53847	DSL1_YEAST	DSL1 YNL258C N0842	Protein transport protein DSL1 (Dependent on SLY1-20 protein 1)	754
P53848	FOL1_YEAST	FOL1 YNL256W N0848	Folic acid synthesis protein FOL1 [Includes: Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase) (FASA) (FASB); 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (PPPK) (FASC); Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase) (FASD)]	824
P53852	SYC_YEAST	YNL247W N0885	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	767
P53853	VPS75_YEAST	VPS75 YNL246W N0890	Vacuolar protein sorting-associated protein 75	264
P53855	ATG2_YEAST	ATG2 APG2 AUT8 SPO72 YNL242W N1106	Autophagy-related protein 2 (Sporulation-specific protein 72)	1592
P53859	CSL4_YEAST	CSL4 SKI4 YNL232W N1154	Exosome complex component CSL4 (CEP1 synthetic lethal protein 4)	292
P53860	PDR16_YEAST	PDR16 SFH3 YNL231C N1158	Phosphatidylinositol transfer protein PDR16 (PITP) (Pleiotropic drug resistance protein 16) (SEC14 homolog 3)	351
P53865	CNM67_YEAST	CNM67 YNL225C N1264	Chaotic nuclear migration protein 67	581
P53866	SQS1_YEAST	SQS1 YNL224C N1269	Protein SQS1 (Squelch of splicing suppression protein 1)	767
P53867	ATG4_YEAST	ATG4 APG4 AUT2 YNL223W N1274	Cysteine protease ATG4 (EC 3.4.22.-) (Autophagy-related protein 4)	494
P53868	ALG9_YEAST	ALG9 YNL219C N1295	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	555
P53871	DUG3_YEAST	DUG3 YNL191W N1410	Probable glutamine amidotransferase DUG3 (Deficient in utilization of glutathione protein 3) (GSH degradosomal complex subunit DUG3)	357
P53872	PGA14_YEAST	YNL190W N1415	Hydrophilin YNL190W	204
P53874	UBP10_YEAST	UBP10 DOT4 YNL186W N1619	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Disrupter of telomere silencing protein 4) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	792
P53877	IPI3_YEAST	IPI3 YNL182C N1636	Pre-rRNA-processing protein IPI3 (Involved in processing IST2 protein 3)	555
P53879	RHO5_YEAST	RHO5 YNL180C N1644	GTP-binding protein RHO5 (EC 3.6.5.2)	331
P53886	APC1_YEAST	APC1 YNL172W N1677	Anaphase-promoting complex subunit 1	1748
P53893	RIA1_YEAST	RIA1 EFL1 YNL163C N1718	Ribosome assembly protein 1 (EC 3.6.5.-) (EF-2-like GTPase) (Elongation factor-like 1)	1110
P53894	CBK1_YEAST	CBK1 YNL161W N1727	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1) (Cell wall biosynthesis kinase)	756
P53895	ASI2_YEAST	ASI2 YNL159C N1735	Protein ASI2 (Amino acid sensor-independent protein 2)	289
P53897	IGO1_YEAST	IGO1 YNL157W N1743	mRNA stability protein IGO1 (Initiation of G zero protein 1)	168
P53899	CUZ1_YEAST	CUZ1 YNL155W N1751	CDC48-associated ubiquitin-like/zinc finger protein 1 (CDC48-associated UBL/Zn-finger protein 1)	274
P53900	PFD4_YEAST	GIM3 PFD4 YNL153C N1761	Prefoldin subunit 4 (Genes involved in microtubule biogenesis protein 3) (Gim complex subunit 3) (GimC subunit 3)	129
P53901	INN1_YEAST	INN1 YNL152W N1765	Ingression protein 1	409
P53904	TBCB_YEAST	ALF1 YNL148C N1201 N1777	Tubulin-specific chaperone B (Alpha-tubulin formation protein 1) (Tubulin-folding cofactor B)	254
P53905	LSM7_YEAST	LSM7 YNL147W N1202 N1780	LSM complex subunit LSM7	115
P53909	ADE_YEAST	AAH1 YNL141W N1208 N1825	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	347
P53911	EAF7_YEAST	EAF7 YNL136W N1212 N1843	Chromatin modification-related protein EAF7 (ESA1-associated factor 7)	425
P53914	NAT10_YEAST	KRE33 NAT10 RRA1 YNL132W N1216 N1858	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (Killer toxin-resistance protein 33) (Ribosomal RNA cytidine acetyltransferase 1)	1056
P53915	NRK1_YEAST	NRK1 YNL129W N1219 N1870	Nicotinamide riboside kinase (NRK) (NmR-K) (EC 2.7.1.22) (Nicotinic acid riboside kinase) (EC 2.7.1.173) (Ribosylnicotinamide kinase) (RNK) (Ribosylnicotinic acid kinase)	240
P53917	FAR11_YEAST	FAR11 YNL127W N1221 N1875	Factor arrest protein 11	953
P53919	NAF1_YEAST	NAF1 YNL124W N1888	H/ACA ribonucleoprotein complex non-core subunit NAF1 (Nuclear assembly factor 1)	492
P53920	NM111_YEAST	NMA111 YNM3 YNL123W N1897	Pro-apoptotic serine protease NMA111 (EC 3.4.21.-) (111 kDa nuclear mediator of apoptosis)	997
P53923	CTU2_YEAST	NCS2 CTU2 TUC2 YNL119W N1913	Cytoplasmic tRNA 2-thiolation protein 2 (Needs CLA4 to survive protein 2) (Thiolation of uridine in cytoplasmic tRNA protein 2)	493
P53924	DMA2_YEAST	DMA2 CHF2 YNL116W N1925	E3 ubiquitin-protein ligase DMA2 (EC 2.3.2.27) (Checkpoint forkhead associated with RING domains-containing protein 1) (Defective in mitotic arrest protein 2) (RING-type E3 ubiquitin transferase DMA2)	522
P53927	NOP15_YEAST	NOP15 YNL110C N1954	Ribosome biogenesis protein 15 (Nucleolar protein 15)	220
P53930	AF9_YEAST	YAF9 YNL107W N1966	Protein AF-9 homolog	226
P53933	APP1_YEAST	APP1 YNL094W N2219	Phosphatidate phosphatase APP1 (PAP) (EC 3.1.3.4) (Actin patch protein 1)	587
P53935	NST1_YEAST	NST1 YNL091W N2231	Stress response protein NST1 (Negatively-affecting salt tolerance protein 1)	1240
P53939	NIS1_YEAST	NIS1 JIP1 YNL078W N2337	Protein NIS1 (Jumonji domain-interacting protein 1) (Neck protein interacting with septins protein 1)	407
P53940	APJ1_YEAST	APJ1 YNL077W N2342	J domain-containing protein APJ1	528
P53941	IMP4_YEAST	IMP4 YNL075W N2353	U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Interacting with MPP10 protein 4)	290
P53942	RNH2A_YEAST	RNH201 RNH35 YNL072W N2369	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (RNase H(201)) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	307
P53943	AQR1_YEAST	AQR1 YNL065W N2417 YNL2417W	Probable transporter AQR1	586
P53950	VAC7_YEAST	VAC7 YNL054W N2467 YNL2467W	Vacuolar segregation protein 7	1165
P53951	COG5_YEAST	COG5 COD4 YNL051W N2476 YNL2476W	Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5) (Complexed with DOR1 protein 4) (Component of oligomeric Golgi complex 5)	403
P53954	ALG11_YEAST	ALG11 YNL048W N2510 YNL2510W	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	548
P53955	SLM2_YEAST	SLM2 LIT1 YNL047C N2515 YNL2515P	Phosphatidylinositol 4,5-bisphosphate-binding protein SLM2 (Synthetic lethal with MSS4 protein 2) (TORC2 effector protein SLM2)	656
P53959	COG6_YEAST	COG6 COD2 SEC37 TFI2 YNL041C N2675	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Complexed with DOR1 protein 2) (Component of oligomeric Golgi complex 6) (Protein SEC37)	839
P53965	SIW14_YEAST	SIW14 OCA3 YNL032W N2746	Inositol diphosphatase SIW14 (EC 3.6.1.52) (5-PP-InsP phosphatase) (Inositol pyrophosphate phosphatase SIW14) (Oxidant-induced cell-cycle arrest protein 3) (Synthetic interaction with WHI2 protein 14)	281
P53968	CRZ1_YEAST	CRZ1 HAL8 TCN1 YNL027W N2760	Transcriptional regulator CRZ1	678
P53969	SAM50_YEAST	SAM50 TOB55 YNL026W N2802	Sorting assembly machinery 50 kDa subunit (TOB complex 55 kDa subunit)	484
P53972	RCM1_YEAST	RCM1 YNL022C N2815	25S rRNA (cytosine(2278)-C(5))-methyltransferase (EC 2.1.1.311) (rRNA m(5)C methyltransferase 1)	490
P53973	HDA1_YEAST	HDA1 YNL021W N2819	Histone deacetylase HDA1 (EC 3.5.1.98)	706
P53974	ARK1_YEAST	ARK1 YNL020C N2823	Actin-regulating kinase 1 (EC 2.7.11.1)	638
P53978	EF3B_YEAST	HEF3 YEF3B ZRG7 YNL014W N2846	Elongation factor 3B (EF-3B) (EC 3.6.4.-) (Eukaryotic elongation factor 3B) (eEF3) (Homolog of EF-3) (Translation elongation factor 3B)	1044
P53981	PYP1_YEAST	PYP1 YNL010W N2866	Polyol phosphate phosphatase PYP1 (EC 3.1.3.50)	241
P53983	ASI3_YEAST	ASI3 YNL008C N2874	Probable ERAD-associated E3 ubiquitin-protein ligase ASI1 (EC 2.3.2.27) (Amino acid sensor-independent protein 3)	676
P54000	SUB1_YEAST	SUB1 TSP1 YMR039C YM9532.04C	RNA polymerase II transcriptional coactivator SUB1	292
P54070	KTR6_YEAST	KTR6 MNN6 YPL053C LPE19C	Mannosyltransferase KTR6 (EC 2.4.1.-) (Mannosylphosphate transferase MNN6)	446
P54074	ASI1_YEAST	ASI1 YMR119W YM8564.01 YM9718.18	ERAD-associated E3 ubiquitin-protein ligase ASI1 (EC 2.3.2.27) (Amino acid sensor-independent protein 1)	624
P54113	PUR91_YEAST	ADE16 YLR028C	Bifunctional purine biosynthesis protein ADE16 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	591
P54115	ALDH6_YEAST	ALD6 ALDH1 YPL061W LPE9	Magnesium-activated aldehyde dehydrogenase, cytosolic (EC 1.2.1.4) (Mg(2+)-activated acetaldehyde dehydrogenase) (Mg(2+)-ACDH)	500
P54199	MPS1_YEAST	MPS1 RPK1 YDL028C D2785	Serine/threonine-protein kinase MPS1 (EC 2.7.12.2) (Monopolar spindle protein 1) (Regulatory cell proliferation kinase 1)	764
P54780	RL15B_YEAST	RPL15B RPL10B RPL13B YL10B YMR121C YM8564.03C	Large ribosomal subunit protein eL15B (60S ribosomal protein L15-B) (L13) (RP15R) (YL10) (YP18)	204
P54781	ERG5_YEAST	ERG5 CYP61 YMR015C YM9711.02C	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	538
P54783	ALO_YEAST	ALO1 YML086C	D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (L-galactono-gamma-lactone oxidase)	526
P54784	ORC1_YEAST	ORC1 YML065W	Origin recognition complex subunit 1 (Origin recognition complex 120 kDa subunit)	914
P54785	MOT3_YEAST	MOT3 ROX7 YMR070W YM9916.09	Transcriptional activator/repressor MOT3 (Hypoxic gene repressor protein 7) (Modulator of transcription protein 3)	490
P54786	ZDS2_YEAST	ZDS2 MCS1 YML109W YM8339.10	Protein ZDS2	942
P54787	VPS9_YEAST	VPS9 VPT9 YML097C	Vacuolar protein sorting-associated protein 9 (Vacuolar protein-targeting protein 9)	451
P54790	ORC3_YEAST	ORC3 OAF1 OIF1 YLL004W L1365	Origin recognition complex subunit 3 (Origin recognition complex 62 kDa subunit)	616
P54791	ORC4_YEAST	ORC4 YPR162C P9325.5	Origin recognition complex subunit 4 (Origin recognition complex 56 kDa subunit)	529
P54837	TMEDA_YEAST	ERV25 YML012W YM9571.06	Endoplasmic reticulum vesicle protein 25	211
P54854	HXT15_YEAST	HXT15 YDL245C	Hexose transporter HXT15	567
P54857	TGL2_YEAST	TGL2 YDR058C D4225 YD9609.12C	Triacylglycerol lipase 2 (EC 3.1.1.3) (Lipase 2) (Neutral lipid hydrolase)	326
P54860	UFD2_YEAST	UFD2 YDL190C D1255	E4 ubiquitin-protein ligase UFD2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UFD2) (Ubiquitin conjugation factor E4) (Ubiquitin fusion degradation protein 2) (UB fusion protein 2)	961
P54861	DNM1_YEAST	DNM1 YLL001W L1381	Dynamin-related protein DNM1 (EC 3.6.5.5)	757
P54862	HXT11_YEAST	HXT11 LGT3 YOL156W AOB567 O0414	Hexose transporter HXT11 (Low-affinity glucose transporter LGT3)	567
P54867	SLG1_YEAST	SLG1 WSC1 YOR008C UNF378	Protein SLG1 (Cell wall integrity and stress response component 1) (Synthetic lethal with GAP protein 1)	378
P54999	RUXF_YEAST	SMX3 YPR182W P9705.4	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	86
P57743	LSM3_YEAST	LSM3 SMX4 USS2 YLR438C-A	LSM complex subunit LSM3 (SmX4 protein)	89
P60010	ACT_YEAST	ACT1 ABY1 END7 YFL039C	Actin (EC 3.6.4.-)	375
P61829	ATP9_YEAST	OLI1 ATP9 OLI3 PHO2 Q0130	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	76
P61830	H3_YEAST	HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749	Histone H3	136
P62651	ERI1_YEAST	ERI1 RIN1 YPL096C-A	Phosphatidylinositol N-acetylglucosaminyltransferase ERI1 subunit (GPI-GlcNAc transferase complex subunit ERI1) (GPI-GnT subunit ERI1) (Endoplasmic reticulum-associated Ras inhibitor protein 1)	68
P69771	DID2_YEAST	DID2 CHM1 FTI1 VPS46 YKR035W-A	Vacuolar protein-sorting-associated protein 46 (Charged multivesicular body protein 1) (DOA4-independent degradation protein 2) (Fifty two inhibitor 1)	204
P69850	DAD3_YEAST	DAD3 YBR233W-A	DASH complex subunit DAD3 (DUO1 and DAM1-interacting protein 3) (Outer kinetochore protein DAD3)	94
P69851	DAD4_YEAST	DAD4 HSK2 YDR320C-A	DASH complex subunit DAD4 (DUO1 and DAM1-interacting protein 4) (Helper of ASK1 protein 2) (Outer kinetochore protein DAD4)	72
P69852	HSK3_YEAST	HSK3 YKL138C-A	DASH complex subunit HSK3 (Helper of ASK1 protein 3) (Outer kinetochore protein HSK3)	69
P80210	PURA_YEAST	ADE12 YNL220W N1290	Adenylosuccinate synthetase (AMPSase) (AS-synthetase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	433
P80428	ARP4_YEAST	ARP4 ACT3 YJL081C J1012	Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)	489
P80667	PEX13_YEAST	PEX13 PAS20 YLR191W L9470.1	Peroxisomal membrane protein PEX13 (Peroxin-13)	386
P80967	TOM5_YEAST	TOM5 MOM8A YPR133W-A	Mitochondrial import receptor subunit TOM5 (Translocase of outer membrane 5 kDa subunit)	50
